request_id,conversation_id,period,created_at,employee_id,employee_department,category,topic,question_text,route,answer_source,knowledge_version,user_confirmed_resolved,resolution_type,recontact_within_24h,peer_reask,feedback_score,response_seconds,input_tokens,output_tokens,api_call_count,retry_count,status_code,error_type,api_cost_krw
R000529,C00529,initial_1m,2026-06-16 11:58:00,E0124,영업,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,0,coworker,1,0,2.1,3.94,1483,354,1,0,200,,3.56
R000530,C00530,initial_1m,2026-06-07 07:40:00,E0198,IT운영,IT,네트워크,사내 인터넷 연결이 불안정해,FAQ,FAQ,faq_네트워크_v1,1,chatbot,0,1,3.8,0.62,0,0,0,0,200,,0.0
R000531,C00531,initial_1m,2026-06-16 04:38:00,E0065,인사,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,1,chatbot,0,0,2.6,7.75,2017,509,1,0,200,,4.96
R000532,C00532,initial_1m,2026-06-24 16:38:00,E0031,기획,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,0,unresolved,0,1,3.0,3.25,2272,361,1,0,200,,4.7
R000533,C00533,initial_1m,2026-06-16 12:15:00,E0132,기획,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,0,coworker,0,0,2.0,4.16,1212,533,1,0,200,,3.94
R000534,C00534,initial_1m,2026-06-10 03:27:00,E0163,고객지원,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,0,coworker,0,0,2.3,4.95,2035,551,1,0,200,,5.16
R000535,C00535,initial_1m,2026-06-24 22:43:00,E0102,IT운영,일반규정,재택근무,재택근무 규정 알려줘,RAG,RAG,재택근무_guide_v1,1,chatbot,0,1,3.7,5.33,2282,454,1,0,200,,5.1
R000536,C00536,initial_1m,2026-06-17 04:32:00,E0168,IT운영,재무,법인카드,법인카드 정산 방법 알려줘,RAG,RAG,법인카드_guide_v1,0,document,0,0,2.0,3.61,2327,267,1,0,200,,4.38
R000537,C00537,initial_1m,2026-06-13 11:26:00,E0220,기획,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,LLM,LLM,,0,coworker,1,0,2.3,5.3,2062,311,1,0,200,,4.19
R000538,C00538,initial_1m,2026-06-18 03:57:00,E0193,기획,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,LLM,LLM,,0,coworker,1,0,1.7,7.33,1568,696,1,0,200,,5.12
R000539,C00539,initial_1m,2026-06-13 16:31:00,E0107,IT운영,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,0,unresolved,1,1,1.7,3.74,1812,673,1,0,200,,5.36
R000540,C00540,initial_1m,2026-06-09 10:49:00,E0202,기획,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,0,unresolved,0,0,1.6,6.45,1540,480,1,0,200,,4.17
R000541,C00541,initial_1m,2026-06-26 11:37:00,E0023,고객지원,인사,근태,근태 수정 절차 알려줘,LLM,LLM,,0,department,0,0,1.9,5.98,1682,267,1,0,200,,3.48
R000542,C00542,initial_1m,2026-06-21 11:52:00,E0248,기획,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,0,document,0,0,3.5,7.24,1452,359,1,0,200,,3.54
R000543,C00543,initial_1m,2026-06-09 09:56:00,E0070,기획,일반규정,보안,자료 반출 기준 알려줘,LLM,LLM,,1,chatbot,0,0,3.4,4.67,2318,486,1,0,200,,5.29
R000544,C00544,initial_1m,2026-06-10 07:19:00,E0284,디자인,재무,법인카드,법인카드 정산 방법 알려줘,FAQ,FAQ,faq_법인카드_v1,1,chatbot,0,1,3.1,0.54,0,0,0,0,200,,0.0
R000545,C00545,initial_1m,2026-06-02 09:30:00,E0174,개발,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,0,coworker,1,0,2.6,4.21,1274,289,1,0,200,,3.0
R000546,C00546,initial_1m,2026-06-07 16:57:00,E0183,인사,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,0,department,0,1,2.3,4.33,1503,720,2,1,200,,10.26
R000547,C00547,initial_1m,2026-06-21 18:31:00,E0130,인사,IT,VPN,VPN 설치/접속 방법 알려줘,RAG,RAG,VPN_guide_v1,0,coworker,0,0,2.5,6.23,2433,362,1,0,200,,4.93
R000548,C00548,initial_1m,2026-06-11 16:59:00,E0017,고객지원,일반규정,보안,자료 반출 기준 알려줘,RULE,RULE,,0,document,0,1,2.0,0.67,0,0,0,0,200,,0.0
R000549,C00549,initial_1m,2026-06-19 10:53:00,E0284,영업,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,0,department,0,0,2.7,6.85,1224,590,1,0,200,,4.19
R000550,C00550,initial_1m,2026-06-28 01:40:00,E0284,재무,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,0,coworker,0,1,1.7,6.99,2212,663,1,0,200,,5.88
R000551,C00551,initial_1m,2026-06-26 03:51:00,E0241,IT운영,인사,근태,근태 수정 절차 알려줘,LLM,LLM,,1,chatbot,1,0,3.8,4.61,1531,453,1,0,200,,4.05
R000552,C00552,initial_1m,2026-06-22 07:28:00,E0071,영업,인사,복지,복지포인트 사용 방법 알려줘,FAQ,FAQ,faq_복지_v1,1,chatbot,0,0,3.8,0.77,0,0,0,0,200,,0.0
R000553,C00553,initial_1m,2026-06-17 17:18:00,E0123,디자인,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,0,coworker,0,0,1.6,5.79,2314,479,1,0,200,,5.25
R000554,C00554,initial_1m,2026-06-02 21:51:00,E0056,재무,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,0,coworker,1,0,2.1,3.23,2235,333,1,0,200,,4.53
R000555,C00555,initial_1m,2026-06-22 02:47:00,E0039,인사,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,0,unresolved,0,1,2.3,7.46,2532,707,1,0,200,,6.51
R000556,C00556,initial_1m,2026-06-03 08:23:00,E0026,영업,IT,VPN,VPN 설치/접속 방법 알려줘,RULE,RULE,,0,coworker,1,0,1.8,0.36,0,0,0,0,200,,0.0
R000557,C00557,initial_1m,2026-06-26 13:32:00,E0005,재무,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,0,department,0,0,3.1,8.09,1782,633,1,0,200,,5.15
R000558,C00558,initial_1m,2026-06-13 05:27:00,E0018,기획,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,1,chatbot,0,0,3.9,3.27,2365,686,1,0,200,,6.19
R000559,C00559,initial_1m,2026-06-13 09:02:00,E0014,디자인,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,0,department,0,1,1.0,4.71,1974,305,1,0,200,,4.04
R000560,C00560,initial_1m,2026-06-29 12:59:00,E0023,고객지원,재무,출장비,출장비 정산 기준 알려줘,LLM,LLM,,0,coworker,0,1,2.8,5.62,1469,545,1,0,200,,4.35
R000561,C00561,initial_1m,2026-06-26 10:28:00,E0108,재무,일반규정,보안,자료 반출 기준 알려줘,LLM,LLM,,0,coworker,0,0,1.8,6.53,1342,515,1,0,200,,4.04
R000562,C00562,initial_1m,2026-06-22 07:22:00,E0226,개발,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,0,department,0,1,1.7,6.95,2096,443,1,0,200,,4.79
R000563,C00563,initial_1m,2026-06-06 06:43:00,E0185,디자인,총무,택배/우편,사내 우편 발송 절차 알려줘,LLM,LLM,,1,chatbot,0,0,4.5,5.34,1892,409,1,0,200,,4.37
R000564,C00564,initial_1m,2026-06-15 08:55:00,E0094,영업,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,0,document,0,1,2.9,3.59,1376,519,1,0,200,,4.11
R000565,C00565,initial_1m,2026-06-04 13:26:00,E0234,재무,총무,택배/우편,사내 우편 발송 절차 알려줘,LLM,LLM,,0,coworker,1,0,2.2,6.11,2172,642,1,0,200,,5.74
R000566,C00566,initial_1m,2026-06-12 13:13:00,E0287,기획,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,0,document,1,0,2.3,6.45,1280,535,1,0,200,,4.04
R000567,C00567,initial_1m,2026-06-24 20:43:00,E0260,영업,재무,출장비,출장비 정산 기준 알려줘,LLM,LLM,,0,coworker,1,0,2.0,3.64,2030,535,1,0,200,,5.09
R000568,C00568,initial_1m,2026-06-20 10:09:00,E0266,기획,총무,비품,사무용 비품 신청 방법 알려줘,LLM,LLM,,0,coworker,0,0,2.2,6.0,1935,415,1,0,200,,4.45
R000569,C00569,initial_1m,2026-06-23 07:41:00,E0038,기획,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,1,chatbot,0,1,3.7,7.91,1314,259,1,0,200,,2.93
R000570,C00570,initial_1m,2026-06-07 09:51:00,E0168,IT운영,재무,출장비,출장비 정산 기준 알려줘,RULE,RULE,,0,coworker,0,0,1.0,0.48,0,0,0,0,200,,0.0
R000571,C00571,initial_1m,2026-06-03 08:56:00,E0191,영업,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,1,chatbot,1,0,3.9,5.71,2527,255,1,0,200,,4.61
R000572,C00572,initial_1m,2026-06-30 05:22:00,E0186,고객지원,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,LLM,LLM,,0,document,0,0,2.4,4.39,1665,350,1,0,200,,3.8
R000573,C00573,initial_1m,2026-06-11 18:16:00,E0153,인사,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,0,unresolved,0,0,2.8,5.08,2510,443,1,0,200,,5.37
R000574,C00574,initial_1m,2026-06-15 15:14:00,E0021,재무,인사,근태,근태 수정 절차 알려줘,LLM,LLM,,0,department,0,0,2.8,3.53,1583,606,1,0,200,,4.76
R000575,C00575,initial_1m,2026-06-18 17:10:00,E0020,디자인,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,LLM,LLM,,1,chatbot,0,1,3.6,7.95,1882,426,1,0,200,,4.42
R000576,C00576,initial_1m,2026-06-15 12:54:00,E0267,영업,인사,급여,급여 지급/명세서 확인 방법 알려줘,RAG,RAG,급여_guide_v1,1,chatbot,0,0,4.9,4.73,2347,300,1,0,200,,4.55
R000577,C00577,initial_1m,2026-06-22 18:24:00,E0280,인사,일반규정,교육,사내 교육 신청 방법 알려줘,LLM,LLM,,0,unresolved,1,1,2.1,6.33,1830,444,1,0,200,,4.43
R000578,C00578,initial_1m,2026-06-23 07:52:00,E0040,영업,총무,택배/우편,사내 우편 발송 절차 알려줘,RAG,RAG,택배/우편_guide_v1,0,department,0,1,2.8,3.43,1652,520,1,0,200,,4.5
R000579,C00579,initial_1m,2026-06-21 09:06:00,E0055,개발,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,0,coworker,0,1,2.1,3.52,2521,526,1,0,200,,5.74
R000580,C00580,initial_1m,2026-06-14 11:54:00,E0156,인사,재무,출장비,출장비 정산 기준 알려줘,RULE,RULE,,0,unresolved,0,0,2.1,0.29,0,0,0,0,200,,0.0
R000581,C00581,initial_1m,2026-06-03 06:30:00,E0240,인사,재무,법인카드,법인카드 정산 방법 알려줘,FAQ,FAQ,faq_법인카드_v1,0,department,0,0,2.2,0.8,0,0,0,0,200,,0.0
R000582,C00582,initial_1m,2026-06-02 06:47:00,E0026,인사,인사,급여,급여 지급/명세서 확인 방법 알려줘,RULE,RULE,,0,coworker,0,1,3.1,0.54,0,0,0,0,200,,0.0
R000583,C00583,initial_1m,2026-06-07 08:04:00,E0032,디자인,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,RAG,RAG,프로그램 설치_guide_v1,0,unresolved,0,0,3.1,7.46,2301,495,1,0,200,,5.3
R000584,C00584,initial_1m,2026-06-29 17:29:00,E0050,디자인,IT,계정,계정 잠금 해제 방법 알려줘,LLM,LLM,,0,department,1,1,3.2,3.51,2469,310,1,0,200,,4.76
R000585,C00585,initial_1m,2026-06-11 06:01:00,E0021,기획,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,0,department,0,1,1.3,7.44,2360,533,1,0,200,,5.54
R000586,C00586,initial_1m,2026-06-17 10:21:00,E0080,영업,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,1,chatbot,1,1,4.2,6.64,1684,616,1,0,200,,4.94
R000587,C00587,initial_1m,2026-06-08 02:06:00,E0104,인사,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,1,chatbot,0,1,2.5,6.95,1692,345,1,0,200,,3.82
R000588,C00588,initial_1m,2026-06-08 01:38:00,E0119,IT운영,재무,출장비,출장비 정산 기준 알려줘,RAG,RAG,출장비_guide_v1,1,chatbot,1,0,3.6,6.82,2242,389,3,2,200,,14.32
R000589,C00589,initial_1m,2026-06-28 13:24:00,E0189,디자인,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,0,unresolved,0,1,2.3,4.11,1259,492,1,0,200,,3.83
R000590,C00590,initial_1m,2026-06-08 10:41:00,E0050,개발,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,0,coworker,0,0,1.0,5.01,1848,250,1,0,200,,3.64
R000591,C00591,initial_1m,2026-06-24 22:39:00,E0111,개발,IT,계정,계정 잠금 해제 방법 알려줘,RAG,RAG,계정_guide_v1,1,chatbot,1,0,3.5,6.74,1565,237,1,0,200,,3.19
R000592,C00592,initial_1m,2026-06-06 16:31:00,E0224,인사,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,LLM,LLM,,0,coworker,0,1,2.0,5.13,1930,272,1,0,200,,3.84
R000593,C00593,initial_1m,2026-06-13 14:45:00,E0089,고객지원,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,0,coworker,1,1,1.7,7.21,1323,617,1,0,200,,4.44
R000594,C00594,initial_1m,2026-06-16 11:52:00,E0110,개발,재무,경비,경비 처리 절차 알려줘,RAG,RAG,경비_guide_v1,0,department,0,1,3.1,7.34,1798,421,1,0,200,,4.29
R000595,C00595,initial_1m,2026-06-28 04:15:00,E0065,영업,IT,계정,계정 잠금 해제 방법 알려줘,LLM,LLM,,0,department,1,0,2.0,4.44,2124,481,1,0,200,,4.99
R000596,C00596,initial_1m,2026-06-07 11:32:00,E0149,영업,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,0,unresolved,1,0,2.6,3.57,2591,637,1,0,200,,6.3
R000597,C00597,initial_1m,2026-06-16 18:45:00,E0055,IT운영,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,1,chatbot,0,0,3.6,7.24,1478,709,2,1,200,,10.09
R000598,C00598,initial_1m,2026-06-20 00:25:00,E0079,고객지원,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,0,department,0,0,2.0,5.86,2523,581,1,0,200,,5.97
R000599,C00599,initial_1m,2026-06-01 23:39:00,E0218,영업,총무,회의실,회의실 예약 방법 알려줘,RAG,RAG,회의실_guide_v1,0,coworker,1,0,1.3,7.25,2304,514,1,0,200,,5.38
R000600,C00600,initial_1m,2026-06-21 19:15:00,E0211,디자인,IT,네트워크,사내 인터넷 연결이 불안정해,RAG,RAG,네트워크_guide_v1,0,unresolved,1,0,1.9,6.43,1593,233,1,0,200,,3.21
R000601,C00601,month2,2026-07-25 11:22:00,E0084,고객지원,일반규정,재택근무,재택근무 규정 알려줘,LLM,LLM,,0,unresolved,1,0,1.7,5.95,2132,605,1,0,200,,5.53
R000602,C00602,month2,2026-07-08 21:57:00,E0096,기획,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,1,chatbot,0,0,3.8,3.98,2060,396,1,0,200,,4.55
R000603,C00603,month2,2026-07-15 13:44:00,E0299,개발,일반규정,재택근무,재택근무 규정 알려줘,LLM,LLM,,0,unresolved,1,1,3.1,3.92,1416,423,1,0,429,rate_limit,3.76
R000604,C00604,month2,2026-07-15 03:18:00,E0013,IT운영,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,0,document,1,1,3.0,6.23,2234,366,1,0,200,,4.66
R000605,C00605,month2,2026-07-20 08:13:00,E0107,디자인,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,1,chatbot,0,1,3.7,6.84,1700,335,1,0,200,,3.79
R000606,C00606,month2,2026-07-25 09:53:00,E0179,인사,재무,출장비,출장비 정산 기준 알려줘,LLM,LLM,,1,chatbot,1,0,3.6,3.67,1589,418,1,0,200,,3.98
R000607,C00607,month2,2026-07-08 03:00:00,E0078,개발,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,1,chatbot,0,1,3.3,6.15,1888,433,1,0,200,,4.46
R000608,C00608,month2,2026-07-08 21:00:00,E0032,재무,총무,회의실,회의실 예약 방법 알려줘,RULE,RULE,,0,document,1,1,2.4,0.6,0,0,0,0,200,,0.0
R000609,C00609,month2,2026-07-11 10:34:00,E0272,인사,IT,계정,계정 잠금 해제 방법 알려줘,RAG,RAG,계정_guide_v1,0,coworker,0,0,3.1,6.42,1813,395,1,0,200,,4.2
R000610,C00610,month2,2026-07-22 09:51:00,E0035,디자인,재무,법인카드,법인카드 정산 방법 알려줘,RULE,RULE,,0,department,0,1,2.1,0.59,0,0,0,0,200,,0.0
R000611,C00611,month2,2026-07-25 11:49:00,E0106,재무,재무,출장비,출장비 정산 기준 알려줘,LLM,LLM,,0,coworker,1,0,1.0,4.78,1256,549,1,0,200,,4.06
R000612,C00612,month2,2026-07-30 07:19:00,E0240,디자인,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,RAG,RAG,프로그램 설치_guide_v1,0,unresolved,0,0,3.6,3.24,1289,401,1,0,200,,3.49
R000613,C00613,month2,2026-07-16 19:58:00,E0205,영업,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,1,chatbot,0,0,4.0,6.97,1712,617,1,0,200,,4.99
R000614,C00614,month2,2026-07-06 02:05:00,E0280,영업,총무,비품,사무용 비품 신청 방법 알려줘,LLM,LLM,,0,coworker,0,0,2.0,5.59,1927,489,1,0,200,,4.75
R000615,C00615,month2,2026-07-26 07:35:00,E0152,기획,IT,VPN,VPN 설치/접속 방법 알려줘,FAQ,FAQ,faq_VPN_v1,1,chatbot,0,0,3.1,0.7,0,0,0,0,200,,0.0
R000616,C00616,month2,2026-07-06 04:33:00,E0072,개발,IT,계정,계정 잠금 해제 방법 알려줘,LLM,LLM,,0,document,0,1,3.8,7.17,1809,613,1,0,200,,5.11
R000617,C00617,month2,2026-07-09 01:56:00,E0255,디자인,재무,법인카드,법인카드 정산 방법 알려줘,FAQ,FAQ,faq_법인카드_v1,1,chatbot,0,0,4.3,0.61,0,0,0,0,200,,0.0
R000618,C00618,month2,2026-07-15 11:53:00,E0139,고객지원,총무,회의실,회의실 예약 방법 알려줘,FAQ,FAQ,faq_회의실_v1,1,chatbot,0,0,4.3,0.61,0,0,0,0,200,,0.0
R000619,C00619,month2,2026-07-03 23:30:00,E0241,인사,재무,경비,경비 처리 절차 알려줘,FAQ,FAQ,faq_경비_v1,1,chatbot,1,0,4.0,0.33,0,0,0,0,200,,0.0
R000620,C00620,month2,2026-07-02 09:07:00,E0083,기획,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,0,department,1,1,2.6,3.29,2339,402,1,0,200,,4.96
R000621,C00621,month2,2026-07-24 23:26:00,E0220,디자인,재무,출장비,출장비 정산 기준 알려줘,LLM,LLM,,0,coworker,0,0,1.4,4.74,1296,612,1,0,200,,4.38
R000622,C00622,month2,2026-07-22 13:35:00,E0151,고객지원,인사,연차,연차 신청 방법 알려줘,RAG,RAG,연차_guide_v1,0,unresolved,0,0,1.6,3.52,1328,443,2,1,200,,7.44
R000623,C00623,month2,2026-07-27 19:36:00,E0246,영업,재무,출장비,출장비 정산 기준 알려줘,LLM,LLM,,0,coworker,0,1,2.7,7.21,1172,266,1,0,200,,2.76
R000624,C00624,month2,2026-07-24 15:26:00,E0288,영업,인사,근태,근태 수정 절차 알려줘,LLM,LLM,,1,chatbot,0,0,2.6,4.37,1667,271,1,0,200,,3.47
R000625,C00625,month2,2026-07-21 07:29:00,E0012,고객지원,IT,네트워크,사내 인터넷 연결이 불안정해,FAQ,FAQ,faq_네트워크_v1,1,chatbot,0,1,4.7,0.53,0,0,0,0,200,,0.0
R000626,C00626,month2,2026-07-16 20:24:00,E0290,인사,IT,계정,계정 잠금 해제 방법 알려줘,FAQ,FAQ,faq_계정_v1,1,chatbot,0,1,4.5,0.48,0,0,0,0,200,,0.0
R000627,C00627,month2,2026-07-15 16:41:00,E0254,재무,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,0,coworker,0,1,2.7,5.05,1248,428,1,0,200,,3.54
R000628,C00628,month2,2026-07-15 06:06:00,E0140,디자인,인사,복지,복지포인트 사용 방법 알려줘,FAQ,FAQ,faq_복지_v1,1,chatbot,1,0,3.9,0.42,0,0,0,0,200,,0.0
R000629,C00629,month2,2026-07-23 23:57:00,E0207,IT운영,일반규정,교육,사내 교육 신청 방법 알려줘,FAQ,FAQ,faq_교육_v1,1,chatbot,0,1,4.2,0.54,0,0,0,0,200,,0.0
R000630,C00630,month2,2026-07-21 05:10:00,E0023,인사,재무,경비,경비 처리 절차 알려줘,RAG,RAG,경비_guide_v1,1,chatbot,0,0,3.9,5.27,1957,430,1,0,200,,4.55
R000631,C00631,month2,2026-07-16 17:16:00,E0166,영업,재무,출장비,출장비 정산 기준 알려줘,RAG,RAG,출장비_guide_v1,0,coworker,1,0,1.7,2.99,1735,459,1,0,200,,4.36
R000632,C00632,month2,2026-07-27 13:54:00,E0159,영업,총무,택배/우편,사내 우편 발송 절차 알려줘,LLM,LLM,,0,coworker,1,0,2.3,4.16,2136,348,1,0,200,,4.45
R000633,C00633,month2,2026-07-17 06:37:00,E0225,개발,인사,연차,연차 신청 방법 알려줘,FAQ,FAQ,faq_연차_v1,0,department,0,0,3.0,0.75,0,0,0,0,200,,0.0
R000634,C00634,month2,2026-07-14 15:45:00,E0032,영업,IT,네트워크,사내 인터넷 연결이 불안정해,FAQ,FAQ,faq_네트워크_v1,1,chatbot,1,0,3.9,0.45,0,0,0,0,200,,0.0
R000635,C00635,month2,2026-07-12 16:51:00,E0198,고객지원,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,0,unresolved,1,0,2.1,5.23,1994,586,1,0,200,,5.25
R000636,C00636,month2,2026-07-23 02:55:00,E0256,디자인,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,RULE,RULE,,0,coworker,0,0,2.0,0.53,0,0,0,0,200,,0.0
R000637,C00637,month2,2026-07-19 16:40:00,E0272,고객지원,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,1,chatbot,1,0,4.0,4.91,2216,305,1,0,200,,4.38
R000638,C00638,month2,2026-07-22 04:29:00,E0254,개발,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,0,unresolved,0,0,2.9,7.08,2096,272,1,0,200,,4.08
R000639,C00639,month2,2026-07-14 11:22:00,E0005,영업,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,RAG,RAG,프로그램 설치_guide_v1,0,department,1,0,1.5,6.14,1335,399,1,0,200,,3.54
R000640,C00640,month2,2026-07-02 18:39:00,E0121,디자인,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,RAG,RAG,프로그램 설치_guide_v1,0,coworker,1,1,2.3,2.76,1458,285,1,0,200,,3.24
R000641,C00641,month2,2026-07-05 18:59:00,E0178,재무,총무,비품,사무용 비품 신청 방법 알려줘,LLM,LLM,,0,coworker,0,1,2.5,5.84,2238,380,1,0,200,,4.73
R000642,C00642,month2,2026-07-13 09:38:00,E0242,개발,인사,급여,급여 지급/명세서 확인 방법 알려줘,RAG,RAG,급여_guide_v1,0,coworker,0,1,3.7,3.64,1288,421,1,0,200,,3.57
R000643,C00643,month2,2026-07-17 06:07:00,E0233,디자인,일반규정,재택근무,재택근무 규정 알려줘,LLM,LLM,,1,chatbot,0,1,4.4,4.21,2176,249,1,0,200,,4.09
R000644,C00644,month2,2026-07-19 09:14:00,E0252,고객지원,인사,급여,급여 지급/명세서 확인 방법 알려줘,RAG,RAG,급여_guide_v1,1,chatbot,0,0,3.8,4.39,1580,322,1,0,504,timeout,3.56
R000645,C00645,month2,2026-07-11 19:44:00,E0118,인사,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,0,document,0,0,1.9,5.3,1142,585,1,0,200,,4.06
R000646,C00646,month2,2026-07-28 15:48:00,E0148,개발,일반규정,재택근무,재택근무 규정 알려줘,RAG,RAG,재택근무_guide_v1,0,coworker,1,0,2.7,3.73,2058,249,1,0,200,,3.93
R000647,C00647,month2,2026-07-29 12:51:00,E0294,IT운영,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,0,department,0,1,2.1,3.26,1215,370,1,0,200,,3.26
R000648,C00648,month2,2026-07-03 16:15:00,E0101,영업,재무,법인카드,법인카드 정산 방법 알려줘,RULE,RULE,,0,document,1,1,2.2,0.68,0,0,0,0,200,,0.0
R000649,C00649,month2,2026-07-26 21:59:00,E0075,개발,IT,계정,계정 잠금 해제 방법 알려줘,RULE,RULE,,0,document,0,1,2.2,0.62,0,0,0,0,200,,0.0
R000650,C00650,month2,2026-07-04 08:42:00,E0115,IT운영,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,1,chatbot,0,0,4.1,3.44,1474,475,1,0,200,,4.06
R000651,C00651,month2,2026-07-04 08:32:00,E0224,고객지원,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,LLM,LLM,,0,unresolved,1,1,2.7,6.53,1649,605,1,0,200,,4.85
R000652,C00652,month2,2026-07-26 19:02:00,E0117,IT운영,IT,계정,계정 잠금 해제 방법 알려줘,LLM,LLM,,0,department,0,0,2.8,5.35,2169,308,1,0,504,timeout,4.33
R000653,C00653,month2,2026-07-06 06:07:00,E0094,IT운영,IT,계정,계정 잠금 해제 방법 알려줘,FAQ,FAQ,faq_계정_v1,1,chatbot,1,1,3.9,0.87,0,0,0,0,200,,0.0
R000654,C00654,month2,2026-07-30 05:55:00,E0040,재무,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,1,chatbot,1,0,4.0,4.76,1961,469,2,1,200,,9.43
R000655,C00655,month2,2026-07-08 07:31:00,E0089,개발,재무,법인카드,법인카드 정산 방법 알려줘,FAQ,FAQ,faq_법인카드_v1,1,chatbot,0,1,3.8,0.5,0,0,0,0,200,,0.0
R000656,C00656,month2,2026-07-10 23:27:00,E0054,기획,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,1,chatbot,0,0,3.0,5.38,1212,506,1,0,200,,3.82
R000657,C00657,month2,2026-07-05 12:47:00,E0221,인사,재무,경비,경비 처리 절차 알려줘,FAQ,FAQ,faq_경비_v1,1,chatbot,0,1,4.6,0.56,0,0,0,0,200,,0.0
R000658,C00658,month2,2026-07-21 02:09:00,E0193,영업,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,1,chatbot,1,0,3.6,3.17,1615,285,1,0,200,,3.46
R000659,C00659,month2,2026-07-19 17:39:00,E0115,영업,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,0,coworker,1,0,2.3,5.59,1982,258,1,0,200,,3.86
R000660,C00660,month2,2026-07-04 03:37:00,E0077,인사,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,0,document,0,0,1.8,7.11,1605,268,1,0,200,,3.37
R000661,C00661,month2,2026-07-10 09:04:00,E0237,IT운영,IT,계정,계정 잠금 해제 방법 알려줘,RULE,RULE,,0,coworker,0,0,3.1,0.25,0,0,0,0,200,,0.0
R000662,C00662,month2,2026-07-06 10:35:00,E0134,IT운영,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,1,chatbot,0,0,3.3,6.04,1902,618,1,0,200,,5.26
